,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TASK MANAGER,,,,,,,,,,,Date: ,,,11/1/25,,,,,(,"Saturday, January 11, 2025 at 9:45:07 PM",,,,,,,,,,)
,★,S.No,TASK,SUBJECT,STATUS,DEADLINE,PRIORITY LEVEL,LINKS/FILES,NOTES,,,,,,,,,,,,,,,,,,,,,,
,FALSE,1,task01,,,dd/mm/yy,☆☆☆☆☆,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,2,task02,,,dd/mm/yy,☆☆☆☆☆,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,3,task03,,,dd/mm/yy,☆☆☆☆☆,,,,,9,SEPTEMBER,,,,,,,,,,10,OCTOBER,,,,,,,
,FALSE,4,task04,,,dd/mm/yy,☆☆☆☆☆,,,,,,M,T,W,T,F,S,S,,,,,M,T,W,T,F,S,S,
,FALSE,5,task05,,,dd/mm/yy,☆☆☆☆☆,,,,,,,,,,,,1,,,,,,1,2,3,4,5,6,
,FALSE,6,task06,,,dd/mm/yy,☆☆☆☆☆,,,,,,2,3,4,5,6,7,8,,,,,7,8,9,10,11,12,13,
,FALSE,7,task07,,,dd/mm/yy,☆☆☆☆☆,,,,,,9,10,11,12,13,14,15,,,,,14,15,16,17,18,19,20,
,FALSE,8,task08,,,dd/mm/yy,☆☆☆☆☆,,,,,,16,17,18,19,20,21,22,,,,,21,22,23,24,25,26,27,
,FALSE,9,task09,,,dd/mm/yy,☆☆☆☆☆,,,,,,23,24,25,26,27,28,29,,,,,28,29,30,31,,,,
,FALSE,10,task10,,,dd/mm/yy,☆☆☆☆☆,,,,,,30,,,,,,,,,,,,,,,,,,
,FALSE,11,task11,,,dd/mm/yy,☆☆☆☆☆,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,12,task12,,,dd/mm/yy,☆☆☆☆☆,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,13,task13,,,dd/mm/yy,☆☆☆☆☆,,,,,,INCOMPLETE,,,,DONE,,,,,,,INCOMPLETE,,,,DONE,,,
,FALSE,14,task14,,,dd/mm/yy,☆☆☆☆☆,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,15,task15,,,dd/mm/yy,☆☆☆☆☆,,,,,,0,,,,0,,,,,,,0,,,,0,,,
,FALSE,16,task16,,,dd/mm/yy,☆☆☆☆☆,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,17,task17,,,dd/mm/yy,☆☆☆☆☆,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,18,task18,,,dd/mm/yy,☆☆☆☆☆,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,19,task19,,,dd/mm/yy,☆☆☆☆☆,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,20,task20,,,dd/mm/yy,☆☆☆☆☆,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,21,task21,,,dd/mm/yy,☆☆☆☆☆,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,22,task22,,,dd/mm/yy,☆☆☆☆☆,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,23,task23,,,dd/mm/yy,☆☆☆☆☆,,,,,11,NOVEMBER,,,,,,,,,,12,DECEMBER,,,,,,,
,FALSE,24,task24,,,dd/mm/yy,☆☆☆☆☆,,,,,,M,T,W,T,F,S,S,,,,,M,T,W,T,F,S,S,
,FALSE,25,task25,,,dd/mm/yy,☆☆☆☆☆,,,,,,,,,,1,2,3,,,,,,,,,,,1,
,FALSE,26,task26,,,dd/mm/yy,☆☆☆☆☆,,,,,,4,5,6,7,8,9,10,,,,,2,3,4,5,6,7,8,
,FALSE,27,task27,,,dd/mm/yy,☆☆☆☆☆,,,,,,11,12,13,14,15,16,17,,,,,9,10,11,12,13,14,15,
,FALSE,28,task28,,,dd/mm/yy,☆☆☆☆☆,,,,,,18,19,20,21,22,23,24,,,,,16,17,18,19,20,21,22,
,FALSE,29,task29,,,dd/mm/yy,☆☆☆☆☆,,,,,,25,26,27,28,29,30,,,,,,23,24,25,26,27,28,29,
,FALSE,30,task30,,,dd/mm/yy,☆☆☆☆☆,,,,,,,,,,,,,,,,,30,31,,,,,,
,FALSE,31,task31,,,dd/mm/yy,☆☆☆☆☆,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,32,task32,,,dd/mm/yy,☆☆☆☆☆,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,33,task33,,,dd/mm/yy,☆☆☆☆☆,,,,,,INCOMPLETE,,,,DONE,,,,,,,INCOMPLETE,,,,DONE,,,
,FALSE,34,task34,,,dd/mm/yy,☆☆☆☆☆,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,35,task35,,,dd/mm/yy,☆☆☆☆☆,,,,,,0,,,,0,,,,,,,0,,,,0,,,
,FALSE,36,task36,,,dd/mm/yy,☆☆☆☆☆,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,37,task37,,,dd/mm/yy,☆☆☆☆☆,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,38,task38,,,dd/mm/yy,☆☆☆☆☆,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,39,task39,,,dd/mm/yy,☆☆☆☆☆,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,40,task40,,,dd/mm/yy,☆☆☆☆☆,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,41,task41,,,dd/mm/yy,☆☆☆☆☆,,,,,,,,,,,,,,,,,,,,Not started,0,,,
,FALSE,42,task42,,,dd/mm/yy,☆☆☆☆☆,,,,,,,,,,,,,,,,,,,,Completed,0,,,
,FALSE,43,task43,,,dd/mm/yy,☆☆☆☆☆,,,,,,,,,,,,,,,,,,,,In progress,0,,,
,FALSE,44,task44,,,dd/mm/yy,☆☆☆☆☆,,,,,,,,,,,,,,,,,,,,Aborted,0,,,
,FALSE,45,task45,,,dd/mm/yy,☆☆☆☆☆,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,46,task46,,,dd/mm/yy,☆☆☆☆☆,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,47,task47,,,dd/mm/yy,☆☆☆☆☆,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,48,task48,,,dd/mm/yy,☆☆☆☆☆,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,49,task49,,,dd/mm/yy,☆☆☆☆☆,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,50,task50,,,dd/mm/yy,☆☆☆☆☆,,,,,,,,,,,,,,,,,,,,,,,,
